game_id,play_id,crp_v2,defender_pressure,receiver_advantage,receiver_dist,nearest_defender_dist,n_defenders_in_radius,ball_land_x,ball_land_y,num_frames_output,week,crp_v2_label
2023090700,101,0.0,0.0,0.4294,3.146,4.866,0,63.2599983215332,-0.219999998807907,21,1,Open
2023090700,194,0.0,0.0,0.0,50.187,19.123,0,35.05999755859381,31.549999999999997,9,1,Open
2023090700,219,0.0,0.0,0.0,43.955,10.471,0,44.150001525878906,41.8100002288818,8,1,Open
2023090700,361,0.0,0.0,0.2377,3.173,4.599,0,26.1000003814697,49.1800003051758,16,1,Open
2023090700,436,0.0,0.0,0.4205,0.87,3.393,0,34.8899993896484,34.8199996948242,7,1,Open
2023090700,461,0.0,0.0,0.5,0.933,4.311,0,55.9099998474121,18.8299999237061,10,1,Open
2023090700,530,0.2342,0.256,0.085,1.807,2.317,1,88.6900024414062,15.1300001144409,8,1,Low Pressure
2023090700,621,0.3245,0.4371,0.2577,0.914,2.19,1,102.919998168945,18.2700004577637,7,1,Moderate Pressure
2023090700,713,0.0,0.0,0.0318,52.885,14.141,0,40.0899963378906,44.32999973297119,8,1,Open
2023090700,736,0.0,0.0,0.0818,32.484,23.11,0,51.5299987792969,12.849999237060494,15,1,Open
2023090700,877,0.0,0.0,0.5,1.315,7.477,0,83.0599975585938,17.7099990844727,10,1,Open
2023090700,902,0.0402,0.053,0.242,1.391,2.843,1,88.370002746582,31.4400005340576,7,1,Low Pressure
2023090700,1001,0.0,0.0,0.3992,2.414,4.81,0,115.610000610352,34.7999992370605,12,1,Open
2023090700,1069,0.0,0.0,0.0,42.799,7.604,0,37.639999389648395,24.269999313354496,6,1,Open
2023090700,1154,0.0,0.0,0.3727,27.466,19.306,0,67.0400009155273,38.0600002288818,12,1,Open
2023090700,1201,0.0,0.0,0.0,30.956,16.845,0,68.61000061035159,36.8300006866455,7,1,Open
2023090700,1300,0.0,0.0,0.2444,50.706,9.087,0,80.63999938964841,39.5299995422363,7,1,Open
2023090700,1422,0.1697,0.2571,0.3399,1.954,2.229,1,44.6199989318848,15.4499998092651,22,1,Low Pressure
